objectid,stop_uid,stop_agency,stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place,x,y
1,MTS_11tbro,MTS,11tbro,11th Ave & Broadway,32.716267940000002,-117.154649340000006,,1,,0.000000000000000,,,6283416.644329056143761,1841597.236409470438957
2,MTS_12tS,MTS,12tS,12th & Imperial Station,32.706001950000001,-117.153377899999995,,1,,0.000000000000000,,,6283775.344070971012115,1837858.737980976700783
3,MTS_imtS,MTS,imtS,12th & Imperial Station Bayside,32.705229050000000,-117.154317920000011,,1,,0.000000000000000,,,6283483.745572805404663,1837580.038079068064690
4,MTS_imp12,MTS,imp12,12th & Imperial Transit Center,32.705684880000000,-117.152874990000001,,1,,0.000000000000000,,,6283929.045207142829895,1837742.037426978349686
5,MTS_24tS,MTS,24tS,24th Street Station,32.661854069999997,-117.108017009999998,,1,,0.000000000000000,,,6297596.645168468356133,1821678.338583305478096
6,MTS_24tro,MTS,24tro,24th Street Transit Center,32.661843859999998,-117.107983120000000,,1,,0.000000000000000,,,6297607.044753968715668,1821674.538065984845161
7,MTS_25tS,MTS,25tS,25th & Commercial St Station,32.705307030000000,-117.140199980000006,,1,,0.000000000000000,,,6287826.846138551831245,1837571.036456644535065
8,MTS_32nS,MTS,32nS,32nd & Commercial St Station,32.705919989999998,-117.124560099999997,,1,,0.000000000000000,,,6292639.744649216532707,1837753.336945056915283
9,MTS_47tS,MTS,47tS,47th Street Station,32.708454099999997,-117.094914149999994,,1,,0.000000000000000,,,6301766.644702464342117,1838600.137744888663292
10,MTS_5thS,MTS,5thS,5th Avenue Station,32.716762050000000,-117.159702980000006,,1,,0.000000000000000,,,6281863.844613134860992,1841790.534251227974892
11,MTS_70tSta,MTS,70tSta,70th St. Trolley Station,32.772210299999998,-117.042025320000008,,1,,0.000000000000000,,,6318211.639043390750885,1861669.235307395458221
12,MTS_70tS,MTS,70tS,70th Street Station,32.772248949999998,-117.042470059999999,,1,,0.000000000000000,,,6318075.041219472885132,1861684.336327061057091
13,MTS_8thS,MTS,8thS,8th Street Station,32.674875139999997,-117.113088140000002,,1,,0.000000000000000,,,6296075.145586803555489,1826428.739843651652336
14,MTS_8thtro,MTS,8thtro,8th Street Transit Center,32.675004199999997,-117.113300959999989,,1,,0.000000000000000,,,6296010.045651391148567,1826476.238436311483383
15,MTS_amaS,MTS,amaS,Amaya Drive Station,32.785423940000001,-117.001722900000004,,1,,0.000000000000000,,,6330634.538410142064095,1866385.134996309876442
16,MTS_apzS,MTS,apzS,America Plaza Station,32.716169409999999,-117.168980149999996,,1,,0.000000000000000,,,6279008.545861810445786,1841599.935222983360291
17,MTS_amptro,MTS,amptro,America Plaza Trolley Station,32.717002199999996,-117.168354510000000,,1,,0.000000000000000,,,6279203.645209133625031,1841901.236129567027092
18,MTS_arnS,MTS,arnS,Arnele Avenue Station,32.804616039999999,-116.975726989999998,,1,,0.000000000000000,,,6338672.635522887110710,1873311.335054650902748
19,MTS_balS,MTS,balS,Balboa Avenue Station,32.805783030000001,-117.214053519999993,,1,,0.000000000000000,,,6265446.644836053252220,1874329.331378221511841
20,MTS_baltro,MTS,baltro,Balboa Avenue Transit Center,32.805704890000001,-117.213677090000004,,1,,0.000000000000000,,,6265562.044211551547050,1874299.832421481609344
21,MTS_barS,MTS,barS,Barrio Logan Station,32.698023929999998,-117.146587930000010,,1,,0.000000000000000,,,6285839.045652225613594,1834938.038441807031631
22,MTS_beyS,MTS,beyS,Beyer Blvd Station,32.557571109999998,-117.046974100000000,,1,,0.000000000000000,,,6316093.544198215007782,1783587.145408898591995
23,MTS_broket,MTS,broket,Broadway & Kettner Bl,32.715714349999999,-117.168893800000006,,1,,0.000000000000000,,,6279033.645549133419991,1841434.135685816407204
24,MTS_ccoS,MTS,ccoS,City College Station,32.716306979999999,-117.154234880000004,,1,,0.000000000000000,,,6283544.244467556476593,1841610.334808483719826
25,MTS_citcol,MTS,citcol,City College Trolley Station,32.715819639999999,-117.153939219999998,,1,,0.000000000000000,,,6283633.644551217556000,1841432.235755234956741
26,MTS_civS,MTS,civS,Civic Center Station,32.716741080000006,-117.162467970000009,,1,,0.000000000000000,,,6281013.344017550349236,1841790.336088895797729
27,MTS_claS,MTS,claS,Clairemont Drive Station,32.790019299999997,-117.206148830000004,,1,,0.000000000000000,,,6267822.845792308449745,1868571.631279483437538
28,MTS_conS,MTS,conS,Convention Center Station,32.708932140000002,-117.163452149999998,,1,,0.000000000000000,,,6280685.746247559785843,1838951.837500810623169
29,MTS_cocS,MTS,cocS,County Center/Little Italy Station,32.721423930000000,-117.169950869999994,,1,,0.000000000000000,,,6278726.845637798309326,1843514.333953231573105
30,MTS_corsta,MTS,corsta,Courthouse Station,32.716644090000003,-117.166059939999997,,1,,0.000000000000000,,,6279908.244193643331528,1841764.735418304800987
31,MTS_estS,MTS,estS,E Street Station,32.639005890000000,-117.099080010000009,,1,,0.000000000000000,,,6300279.445577129721642,1813342.840490564703941
32,MTS_etro,MTS,etro,E Street Transit Center,32.638779090000000,-117.098449270000003,,1,,0.000000000000000,,,6300472.944205880165100,1813258.741905480623245
33,MTS_i15eln,MTS,i15eln,El Cajon Blvd & I-15,32.755566559999998,-117.108670429999989,,1,,0.000000000000000,,,6297676.343499884009361,1855775.836333066225052
34,MTS_i15els,MTS,i15els,El Cajon Blvd & I-15,32.754812770000001,-117.108889149999996,,1,,0.000000000000000,,,6297606.841342300176620,1855502.135764971375465
35,MTS_elcS,MTS,elcS,El Cajon Station,32.791981919999998,-116.976179959999996,,1,,0.000000000000000,,,6338501.436062142252922,1868715.537159651517868
36,MTS_ecajtc,MTS,ecajtc,El Cajon Transit Center,32.792032249999998,-116.975705939999997,,1,,0.000000000000000,,,6338647.236623555421829,1868732.834697231650352
37,MTS_62nS,MTS,62nS,Encanto/62nd St Station,32.710114869999998,-117.063210040000001,,1,,0.000000000000000,,,6311523.641920715570450,1839126.839447394013405
38,MTS_enctro,MTS,enctro,Encanto/62nd St Trolley Station,32.710358499999998,-117.063650199999998,,1,,0.000000000000000,,,6311388.941402718424797,1839216.537102639675140
39,MTS_eucS,MTS,eucS,Euclid Ave Station,32.709546990000000,-117.085948009999996,,1,,0.000000000000000,,,6304527.843248307704926,1838975.538240805268288
40,MTS_euctro,MTS,euctro,Euclid Ave Station,32.710022760000001,-117.086190500000001,,1,,0.000000000000000,,,6304454.641623049974442,1839149.238352730870247
41,MTS_exeS,MTS,exeS,Executive Drive Station,32.874147819999997,-117.214045009999992,,1,,0.000000000000000,,,6265679.244108393788338,1899202.529007062315941
42,MTS_favS,MTS,favS,Fashion Valley Station,32.765481870000002,-117.169062900000000,,1,,0.000000000000000,,,6279141.244743391871452,1859541.632607221603394
43,MTS_fasvtc,MTS,fasvtc,Fashion Valley Transit Center,32.765618259999997,-117.169424109999994,,1,,0.000000000000000,,,6279030.645555138587952,1859592.234868228435516
44,MTS_fenS,MTS,fenS,Fenton Parkway Station,32.778293919999996,-117.127161869999995,,1,,0.000000000000000,,,6292060.941344887018204,1864092.135645315051079
45,MTS_gasS,MTS,gasS,Gaslamp Quarter Station,32.706844480000001,-117.159680929999993,,1,,0.000000000000000,,,6281839.144531309604645,1838182.135956227779388
46,MTS_genljN,MTS,genljN,Genesee & La Jolla Village Dr.,32.873216909999996,-117.213831570000011,,1,,0.000000000000000,,,6265741.643917962908745,1898863.229160726070404
47,MTS_welS,MTS,welS,Gillespie Field Station,32.826921920000004,-116.982098859999994,,1,,0.000000000000000,,,6336771.737093716859818,1881440.735462471842766
48,MTS_frmS,MTS,frmS,Grantville Station,32.780491120000001,-117.097492939999995,,1,,0.000000000000000,,,6301186.441794633865356,1864816.132556900382042
49,MTS_gratro,MTS,gratro,Grantville Trolley Station,32.780314709999999,-117.097207530000006,,1,,0.000000000000000,,,6301273.641423389315605,1864751.235705062747002
50,MTS_groS,MTS,groS,Grossmont Station,32.781815939999994,-117.011061919999989,,1,,0.000000000000000,,,6327754.737411215901375,1865093.234364897012711
51,MTS_grotro,MTS,grotro,Grossmont Transit Center,32.781933760000001,-117.011121820000000,,1,,0.000000000000000,,,6327736.640006467700005,1865136.235919311642647
52,MTS_hstS,MTS,hstS,H Street Station,32.630073940000003,-117.095589110000006,,1,,0.000000000000000,,,6301327.745973974466324,1810084.342086315155029
53,MTS_htro,MTS,htro,H Street Transit Center,32.629612310000006,-117.095090659999997,,1,,0.000000000000000,,,6301479.845735386013985,1809915.140324980020523
54,MTS_harS,MTS,harS,Harborside Station,32.691266960000000,-117.132804149999998,,1,,0.000000000000000,,,6290058.645808801054955,1832443.439100310206413
55,MTS_hazS,MTS,hazS,Hazard Center Station,32.770249960000001,-117.158303090000004,,1,,0.000000000000000,,,6282463.945447057485580,1861247.434313729405403
56,MTS_iritro,MTS,iritro,Iris Ave Transit Center East,32.569852550000000,-117.066079250000001,,1,,0.000000000000000,,,6310241.645468965172768,1788101.142614483833313
57,MTS_iritrW,MTS,iritrW,Iris Ave Transit Center West,32.569686040000001,-117.067232899999993,,1,,0.000000000000000,,,6309885.745918303728104,1788043.343845561146736
58,MTS_iriS,MTS,iriS,Iris Avenue Station,32.569656110000004,-117.067105069999997,,1,,0.000000000000000,,,6309925.043739974498749,1788032.145377144217491
59,MTS_kmtc,MTS,kmtc,Kearny Mesa Transit Center,32.831388550000000,-117.135055850000001,,1,,0.000000000000000,,,6289798.641735643148422,1883430.231155395507812
60,MTS_lamS,MTS,lamS,La Mesa Blvd Station,32.765019049999999,-117.020551900000001,,1,,0.000000000000000,,,6324792.840447887778282,1859003.336111649870872
61,MTS_broS,MTS,broS,Lemon Grove Depot,32.743386029999996,-117.030731119999999,,1,,0.000000000000000,,,6321604.740196809172630,1851155.736977472901344
62,MTS_masS,MTS,masS,Massachusetts Ave Station,32.723524890000000,-117.039584890000000,,1,,0.000000000000000,,,6318827.639451801776886,1843950.035837724804878
63,MTS_midS,MTS,midS,Middletown Station,32.733609000000001,-117.174831040000001,,1,,0.000000000000000,,,6277265.246198803186417,1847960.934968143701553
64,MTS_msdS,MTS,msdS,Mission San Diego Station,32.780927009999999,-117.111078079999999,,1,,0.000000000000000,,,6297012.342531308531761,1865008.935320898890495
65,MTS_mivS,MTS,mivS,Mission Valley Center Station,32.771096010000001,-117.150003940000005,,1,,0.000000000000000,,,6285017.642439380288124,1861533.132889315485954
66,MTS_morS,MTS,morS,Morena/Linda Vista Station,32.763561090000003,-117.196709970000001,,1,,0.000000000000000,,,6270636.146268054842949,1858918.834312140941620
67,MTS_nobS,MTS,nobS,Nobel Drive Station,32.866904040000001,-117.230429920000006,,1,,0.000000000000000,,,6260623.944507718086243,1896613.929853558540344
68,MTS_oldS,MTS,oldS,Old Town Station,32.754734890000002,-117.199589059999994,,1,,0.000000000000000,,,6269721.844618976116180,1855715.634353727102280
